relative_path,parent_dataset,extension,size_bytes,modified_at,detected_format,encoding,schema_or_fields,spatial_fields,detected_crs,time_fields,time_coverage,row_count_estimate,source_or_owner_hint,license_hint,sensitivity_or_risk,proposed_ingestion_route,decision,decision_reason,follow_up_required
歷史品管、即時海氣象水文觀測資料\CWA\外埔潮位站\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,635515,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6538,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\外埔潮位站\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,623226,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,6438,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\外埔潮位站\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,634285,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6518,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\富貴角資料浮標\LonLat.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,47,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\富貴角資料浮標\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,794770,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,7199,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\富貴角資料浮標\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,888600,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,7640,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\富貴角資料浮標\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,549064,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6107,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\富貴角資料浮標\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,752603,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,7066,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\富貴角資料浮標\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,802732,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,7244,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\富貴角資料浮標\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,797566,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,7244,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\將軍潮位站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,48,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\將軍潮位站\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5935912,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,62615,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\將軍潮位站\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5716747,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,60687,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\將軍潮位站\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5755834,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,61493,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\將軍潮位站\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,715934,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6897,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\將軍潮位站\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,711004,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,6862,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\將軍潮位站\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,701929,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6762,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球潮位站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,48,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球潮位站\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5847961,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,62080,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球潮位站\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5850316,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,62105,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球潮位站\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5839871,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,61994,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球潮位站\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,684179,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6740,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球潮位站\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,668585,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,6580,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球潮位站\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,671052,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6771,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球資料浮標\LonLat.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,48,2026-09-17T18:53:56+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球資料浮標\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,829232,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,7179,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球資料浮標\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,888492,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,7561,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球資料浮標\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,844400,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,7155,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球資料浮標\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,800491,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,7147,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球資料浮標\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,807928,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,7162,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\小琉球資料浮標\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,797389,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,7025,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\彭佳嶼資料浮標\LonLat.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,48,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\彭佳嶼資料浮標\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,762717,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6803,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\彭佳嶼資料浮標\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,879983,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,7540,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\彭佳嶼資料浮標\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,785481,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6800,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\彭佳嶼資料浮標\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,728955,2026-09-17T18:53:57+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6857,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
